欧仕达听力科技（厦门）有限公司,&厦门火炬高新区创业园轩业楼3013A室,&培训师=521124466@qq.com,&唐婕=unkonwn&来自年报=unkonwn
北京商鲲教育控股集团有限公司,&北京市东城区白桥大街22号工商联大厦4楼410室,&来自年报=shcw168@163.com,&来自年报=unkonwn
青岛传承国际商贸有限公司,&青岛保税区十四号区汉城路2号楼6245#,&来自年报=QIU.YY.QD@SDBELLE.COM&年报邮箱=qiu.yy.qd@sdbelle.com,"&来自年报=unkonwn&年报电话,更新时间2017年=unkonwn"
阳江美宝行汽车销售服务有限公司,&广东省阳江市阳东区裕东一路67号。,&梁峰铭=liangfengming@mail.bmwmbh.cn&年报邮箱=yjmbhhr@dadong.cc,&年报电话=unkonwn
厦门好慷家政服务有限公司,&厦门市集美区杏林湾商务运营中心9号楼18层1801,&年报邮箱=liangxz@homeking365.com,"&年报电话,更新时间2017年=unkonwn"
苏州天空之城图书有限公司,&苏州市平江路58号,&年报邮箱=maokong@momibook.com,"&年报电话,更新时间2017年=unkonwn"
上海中智电子科技有限公司,&上海市徐汇区衡山路922号建汇大厦18楼,&年报邮箱=zhengsq@ciicsh.com,"&年报电话,更新时间2016年=unkonwn"
福建匹克集团有限公司,&泉州市丰泽区东海街道东宝工业区,,"&年报电话,更新时间2017年=unkonwn"
东莞珍其道食品有限公司,&东莞市石龙镇黄洲I9区（腾远大厦5-6楼）,,&来自年报=unkonwn
湖北比度克生物科技有限公司,&湖北省来凤县翔凤镇凤翔大道河坝梁,&年报邮箱=564272835@qq.com,"&年报电话,更新时间2017年=unkonwn"
北京京领教育科技有限公司,&北京市海淀区中关村彩和坊路8号天创科技大厦218室,&年报邮箱=office@jinglingedu.com,"&年报电话,更新时间2017年=unkonwn"
广州春晓信息科技有限公司,&广州市番禺区市桥街云星珠坑大道1号511室,&年报邮箱=liangliping@springbegins.com,&企业座机=unkonwn
广东海泓科技发展有限公司,"&广州市天河区天河北路908号1606,1607房（仅限办公用途）",&年报邮箱=wangshuran@hh-tech.cn,&企业座机=unkonwn
杭州沃鑫化妆品贸易有限公司,&浙江省杭州市江干区四季青街道香樟路2号泛海国际A座903室,,&企业座机=unkonwn
四川丹秋教育管理咨询有限公司,&成都市青羊区顺城大街269号1栋1单元4层10号,&年报邮箱=1143693485@qq.com,"&年报电话,更新时间2017年=unkonwn"
上海吉汇资产管理有限公司,&上海市普陀区中山北路3000号长城大厦48楼,&年报邮箱=603135927@qq.com,"&年报电话,更新时间2017年=unkonwn"
广州长佶科技有限公司,&广州市番禺区南村镇番禺大道北383号写字楼2栋302号房,&年报邮箱=dujieqing@ggucar.com,&企业座机=unkonwn
广东唯兴物业管理有限公司,&佛山市南海区桂城街道简平路1号天安南海数码新城1栋303室,&年报邮箱=leeming@68weixing.com,&企业座机=unkonwn
北京北斗育才科技有限公司,&北京市海淀区北四环西路9号2106,&年报邮箱=kfnb@bjyjwy.com,"&年报电话,更新时间2016年=unkonwn"
上海超网企业管理咨询有限公司,&上海嘉定区南翔镇科福路358号华强科技园3号楼1楼,&年报邮箱=hyb@tranwin.org,"&年报电话,更新时间2017年=unkonwn"
广东弘迅投资有限公司,&广州市番禺区化龙镇西山村1号办公楼301,&年报邮箱=xny_666@qq.com,"&年报电话,更新时间2017年=unkonwn"
上海瑞思铭远信息咨询有限公司,&上海浦东新区东方路971号钱江大厦25B,&年报邮箱=14730374@QQ.COM,&企业座机=unkonwn
东莞市傲马网络科技有限公司,&东莞市南城街道周溪社区众利路84号聚大电商产业园单仁楼一层102、103号,&年报邮箱=2355733305@qq.com,"&年报电话,更新时间2017年=unkonwn"
桂林市卤皇餐饮管理有限公司,&桂林市中山南路57号新2栋2-1号房,&年报邮箱=340006702@qq.com,"&年报电话,更新时间2017年=unkonwn"
上海开羽餐饮企业管理有限公司,&上海市嘉定区金沙江西路1555弄2号6楼,&年报邮箱=15221056272@163.com,"&年报电话,更新时间2017年=unkonwn"
广东惠能节能服务有限公司,&广州市天河区黄埔大道西159号富星商贸大厦西塔26层,&年报邮箱=1320470544@qq.com,&企业座机=unkonwn
广州新咨力信息科技有限公司,&广州市天河区中山大道中1057号D408房（仅限办公用途）,&年报邮箱=2744275420@qq.com,"&年报电话,更新时间2015年=unkonwn"
青岛市国家税务干部培训中心,&青岛市市南区瞿塘峡路32号,&年报邮箱=yongshan_c@126.com,"&年报电话,更新时间2017年=unkonwn"
上海毅航企业管理有限公司,&上海市奉贤区四团镇平海路855号第7幢117室,&年报邮箱=1203039389@qq.com,"&年报电话,更新时间2017年=unkonwn"
湖南润德教育咨询有限公司,&湖南省长沙市岳麓区观沙岭街道黄泥塘小区B区4栋三单元,,"&年报电话,更新时间2016年=unkonwn"
河北鹰极汽车服务有限公司,&石家庄市栾城区卓达太阳城希望之州商铺10-101号,,"&年报电话,更新时间2017年=unkonwn"
四川省加法科技有限公司,&南充市顺庆区潆华大道上海滩花园一期13幢2F,,
上汽大众汽车有限公司,&上海市嘉定区安亭于田路7号,&郭哲=guozhe0805@163.com&年报邮箱=callcenter@csvw.com,"&年报电话,更新时间2017年=unkonwn"
上海信颐电子科技有限公司,&上海市松江区莘砖公路518号8号楼2楼,&来自年报=yanyr@seeyoo.cn,&来自年报=unkonwn
深圳广联赛讯有限公司,&深圳市南山区科苑路科兴科学园C3栋7楼,&年报邮箱=liutt@didihu.com.cn,"&销售总监=unkonwn&年报电话,更新时间2017年=unkonwn"
青岛酷特智能股份有限公司,&山东省青岛市即墨市红领大街19号,&欧洲市场及国内=panny@kutesmart.com&年报邮箱=xingzb8000@126.com,&销售经理=unkonwn&skype:redcollar1990=unkonwn&年报电话=unkonwn
深圳市凌雄租赁服务有限公司,&深圳市福田区车公庙安华工业厂房5栋6楼西南,&来自年报=343014016@qq.com&来自年报=1076030383@qq.com,&来自年报=unkonwn&来自年报=unkonwn
厦门山国饮艺茶业有限公司,&厦门市思明区体育路华夏工业中心第五层C单元,&来自年报=zjb@sumgotea.com,&来自年报=unkonwn
苏州春兴精工股份有限公司,&苏州工业园区唯亭镇金陵东路120号,&来自年报=jianli.liang@outlook.com&年报邮箱=yajuan.xu@chunxing-group.com,&来自年报=unkonwn&企业座机=unkonwn
武汉亿童文教股份有限公司,&武汉市洪山区书城路40号亿童大厦,&来自年报=IRM@yitong.com,&赵洁琼=unkonwn&来自年报=unkonwn
深圳麦逊电子有限公司,&深圳市南山区西丽镇沙河新围工业区第九栋,&来自年报=Jeff.zhong@masone.com&钟文武=Jeff.zhong@masone.com,"&来自年报=unkonwn&年报电话,更新时间2017年=unkonwn"
北京中公教育科技股份有限公司,&北京市海淀区学清路38号B座9层911室,&来自年报=742594990@qq.com&年报邮箱=zhaolei@offcn.com,"&来自年报=unkonwn&年报电话,更新时间2017年=unkonwn"
北京品今控股有限公司,&北京市丰台区大红门久敬庄甲1号1-2幢402房间,&邮箱=hushaohua128@163.com&年报邮箱=859300742@qq.com,&基金经理=unkonwn&胡少华=unkonwn&年报电话=unkonwn
斯堪尼亚销售（中国）有限公司,&北京市朝阳区霄云路36号国航大厦2001室,&来自年报=mary.wang@scania.com,&来自年报=unkonwn&服务热线=unkonwn&总机=unkonwn
深圳小辣椒科技有限责任公司,&深圳市南山区沙河街道学苑大道1001号南山智园A7栋4楼,&来自年报=sur@wherecom.com&年报邮箱=LIUF@XIAOLAJIAO.COM,&来自年报=unkonwn&企业座机=unkonwn
深圳市华拓科技有限公司,&深圳市龙华新区宝能科技园宝创大厦A座5楼ABC单元,&来自年报=kuaiji@china-hitouch.com&华南区经理=1206593058@qq.com&年报邮箱=2355879990@qq.com,&宁杰=unkonwn&来自年报=unkonwn
深圳市粤豪珠宝有限公司,&深圳市盐田区沙头角保税区厂房23栋北座第八层,&年报邮箱=779719160@qq.com,&企业座机=unkonwn
旌逸集团有限公司,&上海普陀区中山北路3000号48楼,&来自年报=jinhualu@jingyi-group.cn&年报邮箱=customer@jingyi-group.cn,&来自年报=unkonwn
上海腾牛电子商务有限公司,&上海市徐汇区田林路200号,&年报邮箱=li.zhi@niuhome.com,&刘洋=unkonwn&企业座机=unkonwn
北京汇冠新技术股份有限公司,&北京市海淀区长春桥路11号万柳亿城大厦3号楼1707室,&年报邮箱=jiangsaisai@irtouch.com,&企业座机=unkonwn
全美世界（浙江）药业有限公司,&浙江省杭州市江干区九堡镇九环路48号1幢3楼,&常务副总经理=2529329245@qq.com&来自年报=bwlds@qj9999.com,&来自年报=unkonwn&来自年报=unkonwn
北京分贝通科技有限公司,&北京市朝阳区东大桥路12号润诚中心301,&来自年报=yan.yang@fenbeitong.com,&蔡喜乐=unkonwn&李书宁=unkonwn&来自年报=unkonwn
戴耐德语言软件系统开发（北京）有限公司,&北京市北京经济技术开发区西环南路18号C座505室,&来自年报=bj@dyned.com.cn,&来自年报=unkonwn&Lucy Han=unkonwn
北京久安建设投资集团有限公司,&北京市海淀区北清路中关村生命科学园23-2久安集团,&年报邮箱=zq609791174@qq.com,"&施工员=unkonwn&年报电话,更新时间2017年=unkonwn"
新光控股集团有限公司,&浙江省义乌市青口工业区,,&廖幸三=unkonwn&企业座机=unkonwn
九牧集团有限公司,&福建省南安市仑苍镇登峰工业区28号,&年报邮箱=jomoo@jomoo.cn,&企业座机=unkonwn
厦门优芽网络科技有限公司,&厦门市思明区莲前西路595号金福汇商务楼6号楼201室,&来自年报=Chencr@yoya.com&年报邮箱=wangq@yoya.com,&来自年报=unkonwn
上海益萃网络科技有限公司,&上海市静安区彭江路602号易园E座338室,&来自年报=suky.mei@ydcfo.com,&来自年报=unkonwn&客服=unkonwn
威康健身管理咨询（上海）有限公司,&上海市长宁区遵义路150号虹桥南丰城C座8楼,&年报邮箱=rebeccawang@willsfitness.net,"&方周群=unkonwn&来自年报=unkonwn&年报电话,更新时间2017年=unkonwn"
安徽讯飞皆成软件技术有限公司,&安徽省合肥市高新区信息产业园,&来自年报=yhjia@iflytek.com,"&江皓=unkonwn&来自年报=unkonwn&年报电话,更新时间2017年=unkonwn"
广州红海人力资源集团股份有限公司,&广州市越秀区万福路137号3楼,&来自年报=xulu@redsea888.com,&来自年报=unkonwn
广东阳光视界教育科技有限公司,&广州市黄埔区茅岗路268号101房,,&来自年报=unkonwn
欧瑞莲化妆品（中国）有限公司,&江苏省昆山市经济技术开发区南浜路529号,&来自年报=lisa.wang@oriflame.com,&来自年报=unkonwn
凡学（上海）教育科技有限公司,&上海市松江区三新北路900弄668号4楼,&年报邮箱=fancy@fancyedu.com,&来自年报=unkonwn
广州奥凯信息咨询有限公司,&广州市越秀区先烈中路80号620房,&来自年报=qiruixin@ourchem.com&年报邮箱=xz@ourchem.com,&来自年报=unkonwn
欧宝远东服饰（深圳）有限公司,&深圳市龙岗区横岗街道六约社区丰塘街57号5栋,&沈忠=sz@odbo.com&年报邮箱=yxye@odbo.com,&企业座机=unkonwn
中电天讯信息技术（北京）有限公司,&北京市海淀区花园路2号院2号楼129室,&年报邮箱=fujianjun@coolhc.com,&企业座机=unkonwn
北京敏特昭阳科技发展有限公司,&北京市朝阳区东三环北路3号幸福大厦A座606室,&年报邮箱=470221979@qq.com,&企业座机=unkonwn
深圳市龙城物业管理有限公司,&深圳市南山区深云村综合楼300,&来自年报=648851030@qq.com&年报邮箱=17241883@qq.com,&李宏伟=unkonwn&来自年报=unkonwn&企业座机=unkonwn
广东天福连锁商业集团有限公司,&东莞市南城区车站路1号天福大厦2楼,&来自年报=gdtf0769@163.com&年报邮箱=tianfu_cn@163.com,&来自年报=unkonwn
深圳市北鼎科技有限公司,&深圳市南山区桃源街道学苑大道1001号南山智园A7栋8楼,&年报邮箱=wuj@buydeem.com,"&年报电话,更新时间2017年=unkonwn"
北京洪恩教育科技股份有限公司,&北京市海淀区上地东路1号院1号楼701-1,&年报邮箱=liuyu@hongen.com,&企业座机=unkonwn
江苏银凤金革资产管理有限公司,&南京市秦淮区正洪街18号东宇大厦22楼,&来自年报=391869204@qq.com&年报邮箱=313341899@qq.com,&钟敏智=unkonwn&来自年报=unkonwn
北京金米兰咖啡有限公司,&北京市朝阳区东三环中路55号富力双子座B座2605室,&来自年报=info@milangold.com.cn,&来自年报=unkonwn
